school_id,class_id,section_id,student_id,treatment,test_score,post
1.0,1.0,1.0,1.0,Control,58.096153,Post
1.0,1.0,1.0,2.0,T1,85.35341,Post
1.0,1.0,1.0,3.0,T2,45.052258,Post
1.0,1.0,1.0,4.0,T1,46.218613,Post
1.0,1.0,1.0,5.0,Control,65.26978,Post
1.0,1.0,1.0,6.0,Control,39.231796,Post
1.0,1.0,1.0,7.0,T1,70.41124,Post
1.0,1.0,1.0,8.0,T1,76.25699,Post
1.0,1.0,1.0,9.0,T1,55.891895,Post
1.0,1.0,1.0,10.0,T1,73.08489,Post
1.0,1.0,1.0,11.0,T2,64.66921,Post
1.0,1.0,1.0,12.0,Control,40.993523,Post
1.0,1.0,1.0,13.0,T2,65.080025,Post
1.0,1.0,1.0,14.0,T1,77.215904,Post
1.0,1.0,1.0,15.0,T1,60.357773,Post
1.0,1.0,1.0,16.0,T1,60.750324,Post
1.0,1.0,1.0,17.0,T1,74.96202,Post
1.0,1.0,1.0,18.0,T2,67.52161,Post
1.0,1.0,1.0,19.0,T1,54.381268,Post
1.0,1.0,1.0,20.0,Control,41.618603,Post
1.0,1.0,1.0,21.0,T1,63.8516,Post
1.0,1.0,1.0,22.0,T1,52.947205,Post
1.0,1.0,1.0,23.0,T2,52.305115,Post
1.0,1.0,1.0,24.0,T2,49.37131,Post
1.0,1.0,1.0,25.0,T1,68.30638,Post
1.0,1.0,1.0,26.0,T1,54.812557,Post
1.0,1.0,1.0,27.0,T1,81.52663,Post
1.0,1.0,1.0,28.0,Control,42.465252,Post
1.0,1.0,1.0,29.0,T2,58.439816,Post
1.0,1.0,1.0,30.0,Control,49.227886,Post
1.0,1.0,1.0,31.0,T2,51.907516,Post
1.0,1.0,1.0,32.0,Control,84.42974,Post
1.0,1.0,1.0,33.0,T2,60.325336,Post
1.0,1.0,1.0,34.0,T1,52.68847,Post
1.0,1.0,1.0,35.0,T1,89.31998,Post
1.0,1.0,1.0,36.0,T1,72.85959,Post
1.0,1.0,1.0,37.0,T1,69.88415,Post
1.0,1.0,2.0,1.0,T1,65.92854,Post
1.0,1.0,2.0,2.0,T2,55.768368,Post
1.0,1.0,2.0,3.0,T2,48.600483,Post
1.0,1.0,2.0,4.0,T1,68.76319,Post
1.0,1.0,2.0,5.0,T1,77.852844,Post
1.0,1.0,2.0,6.0,T1,79.7039,Post
1.0,1.0,2.0,7.0,Control,49.152184,Post
1.0,1.0,2.0,8.0,T2,50.491573,Post
1.0,1.0,2.0,9.0,T2,72.33043,Post
1.0,1.0,2.0,10.0,T2,52.688965,Post
1.0,1.0,2.0,11.0,T2,63.832115,Post
1.0,1.0,2.0,12.0,T2,66.82027,Post
1.0,1.0,2.0,13.0,T1,90.27878,Post
1.0,1.0,2.0,14.0,T1,67.58331,Post
1.0,1.0,2.0,15.0,T2,64.68266,Post
1.0,1.0,2.0,16.0,Control,47.024006,Post
1.0,1.0,2.0,17.0,T1,76.15337,Post
1.0,1.0,2.0,18.0,Control,64.52569,Post
1.0,1.0,2.0,19.0,T1,61.77165,Post
1.0,1.0,2.0,20.0,T1,59.23867,Post
1.0,1.0,2.0,21.0,T1,77.6912,Post
1.0,1.0,2.0,22.0,T2,51.087505,Post
1.0,1.0,2.0,23.0,Control,63.639874,Post
1.0,1.0,2.0,24.0,T2,32.42381,Post
1.0,1.0,2.0,25.0,T2,55.614223,Post
1.0,1.0,2.0,26.0,Control,57.87108,Post
1.0,1.0,2.0,27.0,Control,80.59421,Post
1.0,1.0,2.0,28.0,T1,80.24081,Post
1.0,1.0,2.0,29.0,Control,60.256508,Post
1.0,1.0,2.0,30.0,Control,44.712685,Post
1.0,1.0,2.0,31.0,T1,83.20656,Post
1.0,1.0,2.0,32.0,Control,54.86922,Post
1.0,1.0,2.0,33.0,T1,86.92313,Post
1.0,1.0,2.0,34.0,T1,76.07865,Post
1.0,1.0,2.0,35.0,T1,55.532944,Post
1.0,1.0,2.0,36.0,Control,53.802082,Post
1.0,1.0,2.0,37.0,T2,62.04043,Post
1.0,1.0,2.0,38.0,Control,50.82787,Post
1.0,2.0,1.0,1.0,T2,73.3123,Post
1.0,2.0,1.0,2.0,T1,86.18373,Post
1.0,2.0,1.0,3.0,Control,67.450294,Post
1.0,2.0,1.0,4.0,Control,69.689995,Post
1.0,2.0,1.0,5.0,Control,47.907673,Post
1.0,2.0,1.0,6.0,T1,73.1432,Post
1.0,2.0,1.0,7.0,Control,62.964153,Post
1.0,2.0,1.0,8.0,Control,44.774574,Post
1.0,2.0,1.0,9.0,Control,55.19398,Post
1.0,2.0,1.0,10.0,Control,55.052055,Post
1.0,2.0,1.0,11.0,T1,77.48817,Post
1.0,2.0,1.0,12.0,T2,47.105644,Post
1.0,2.0,1.0,13.0,T1,60.134895,Post
1.0,2.0,1.0,14.0,T2,55.814777,Post
1.0,2.0,1.0,15.0,Control,70.29637,Post
1.0,2.0,1.0,16.0,Control,59.70111,Post
1.0,2.0,1.0,17.0,Control,76.648735,Post
1.0,2.0,1.0,18.0,T2,61.724167,Post
1.0,2.0,1.0,19.0,T1,45.318356,Post
1.0,2.0,1.0,20.0,T1,59.803093,Post
1.0,2.0,1.0,21.0,T2,62.25854,Post
1.0,2.0,1.0,22.0,Control,55.96247,Post
1.0,2.0,1.0,23.0,Control,66.61636,Post
1.0,2.0,1.0,24.0,T2,62.257687,Post
1.0,2.0,1.0,25.0,T1,84.01812,Post
1.0,2.0,1.0,26.0,Control,58.974556,Post
1.0,2.0,1.0,27.0,Control,56.16561,Post
1.0,2.0,1.0,28.0,T2,63.894238,Post
1.0,2.0,1.0,29.0,T1,64.01904,Post
1.0,2.0,1.0,30.0,T2,71.30358,Post
1.0,2.0,1.0,31.0,T2,55.466625,Post
1.0,2.0,1.0,32.0,Control,76.8336,Post
1.0,2.0,1.0,33.0,Control,67.373344,Post
1.0,2.0,1.0,34.0,T2,47.31729,Post
1.0,2.0,1.0,35.0,Control,72.23371,Post
1.0,2.0,1.0,36.0,T2,41.241135,Post
1.0,2.0,1.0,37.0,T1,60.04248,Post
1.0,2.0,2.0,1.0,Control,41.210125,Post
1.0,2.0,2.0,2.0,T1,76.90483,Post
1.0,2.0,2.0,3.0,Control,77.865036,Post
1.0,2.0,2.0,4.0,T2,79.59446,Post
1.0,2.0,2.0,5.0,Control,67.70667,Post
1.0,2.0,2.0,6.0,Control,47.433407,Post
1.0,2.0,2.0,7.0,Control,47.961746,Post
1.0,2.0,2.0,8.0,T1,73.9511,Post
1.0,2.0,2.0,9.0,T2,39.66462,Post
1.0,2.0,2.0,10.0,Control,57.382664,Post
1.0,2.0,2.0,11.0,Control,73.26778,Post
1.0,2.0,2.0,12.0,T1,84.1657,Post
1.0,2.0,2.0,13.0,T2,51.95728,Post
1.0,2.0,2.0,14.0,T1,73.68454,Post
1.0,2.0,2.0,15.0,T1,65.218735,Post
1.0,2.0,2.0,16.0,T2,56.404533,Post
1.0,2.0,2.0,17.0,T2,75.59421,Post
1.0,2.0,2.0,18.0,T2,53.37406,Post
1.0,2.0,2.0,19.0,Control,64.217575,Post
1.0,2.0,2.0,20.0,T2,35.206455,Post
1.0,2.0,2.0,21.0,T1,67.437614,Post
1.0,2.0,2.0,22.0,T2,65.89719,Post
1.0,2.0,2.0,23.0,T1,55.181465,Post
1.0,2.0,2.0,24.0,T2,44.708508,Post
1.0,2.0,2.0,25.0,T2,58.704796,Post
1.0,2.0,2.0,26.0,Control,58.556835,Post
1.0,2.0,2.0,27.0,Control,78.67516,Post
1.0,2.0,2.0,28.0,T2,58.739986,Post
1.0,2.0,2.0,29.0,T2,57.742046,Post
1.0,2.0,2.0,30.0,T2,67.73525,Post
1.0,2.0,2.0,31.0,T2,49.289207,Post
1.0,2.0,2.0,32.0,T1,65.04494,Post
1.0,2.0,2.0,33.0,Control,43.469097,Post
1.0,2.0,2.0,34.0,T2,64.59239,Post
1.0,2.0,2.0,35.0,T2,50.60953,Post
1.0,2.0,2.0,36.0,Control,70.090355,Post
1.0,2.0,2.0,37.0,T2,57.290703,Post
1.0,2.0,2.0,38.0,T1,86.83735,Post
2.0,1.0,1.0,1.0,Control,56.51259,Post
2.0,1.0,1.0,2.0,T2,53.561497,Post
2.0,1.0,1.0,3.0,T2,45.604282,Post
2.0,1.0,1.0,4.0,T1,67.22789,Post
2.0,1.0,1.0,5.0,Control,58.080677,Post
2.0,1.0,1.0,6.0,T2,59.649445,Post
2.0,1.0,1.0,7.0,T2,51.87031,Post
2.0,1.0,1.0,8.0,Control,55.08271,Post
2.0,1.0,1.0,9.0,Control,65.39989,Post
2.0,1.0,1.0,10.0,T1,79.10945,Post
2.0,1.0,1.0,11.0,T2,65.65613,Post
2.0,1.0,1.0,12.0,T2,68.19123,Post
2.0,1.0,1.0,13.0,T1,51.710487,Post
2.0,1.0,1.0,14.0,T1,74.00257,Post
2.0,1.0,1.0,15.0,Control,68.955765,Post
2.0,1.0,1.0,16.0,T2,41.35319,Post
2.0,1.0,1.0,17.0,T2,55.61319,Post
2.0,1.0,1.0,18.0,T1,53.984726,Post
2.0,1.0,1.0,19.0,T1,56.762543,Post
2.0,1.0,1.0,20.0,T2,53.694836,Post
2.0,1.0,1.0,21.0,T2,48.001263,Post
2.0,1.0,1.0,22.0,Control,92.93468,Post
2.0,1.0,1.0,23.0,T1,84.98861,Post
2.0,1.0,1.0,24.0,T2,68.054695,Post
2.0,1.0,1.0,25.0,Control,69.62346,Post
2.0,1.0,1.0,26.0,T1,54.73054,Post
2.0,1.0,1.0,27.0,Control,61.717216,Post
2.0,1.0,1.0,28.0,T1,79.719864,Post
2.0,1.0,1.0,29.0,T2,64.12832,Post
2.0,1.0,1.0,30.0,T1,95.626945,Post
2.0,1.0,1.0,31.0,Control,52.731148,Post
2.0,1.0,1.0,32.0,Control,69.46647,Post
2.0,1.0,1.0,33.0,T1,58.85986,Post
2.0,1.0,1.0,34.0,T2,80.281204,Post
2.0,1.0,1.0,35.0,T2,51.39451,Post
2.0,1.0,1.0,36.0,T2,44.591965,Post
2.0,1.0,1.0,37.0,T1,63.875862,Post
2.0,1.0,2.0,1.0,Control,69.611885,Post
2.0,1.0,2.0,2.0,Control,82.98663,Post
2.0,1.0,2.0,3.0,T2,50.2359,Post
2.0,1.0,2.0,4.0,T1,76.21483,Post
2.0,1.0,2.0,5.0,T2,60.22643,Post
2.0,1.0,2.0,6.0,T1,81.64641,Post
2.0,1.0,2.0,7.0,T1,66.24778,Post
2.0,1.0,2.0,8.0,Control,56.656296,Post
2.0,1.0,2.0,9.0,T1,79.47696,Post
2.0,1.0,2.0,10.0,T2,65.439575,Post
2.0,1.0,2.0,11.0,Control,75.40259,Post
2.0,1.0,2.0,12.0,Control,73.49251,Post
