school_id,class_id,section_id,student_id,treatment,test_score_endline
1.0,1.0,1.0,1.0,T1,55.942066
1.0,1.0,1.0,2.0,T2,77.17107
1.0,1.0,1.0,3.0,T1,47.633476
1.0,1.0,1.0,4.0,T2,39.106045
1.0,1.0,1.0,5.0,T1,72.385574
1.0,1.0,1.0,6.0,T2,46.4273
1.0,1.0,1.0,7.0,T1,68.978
1.0,1.0,1.0,8.0,T2,75.53006
1.0,1.0,1.0,9.0,T2,65.58071
1.0,1.0,1.0,10.0,T1,52.034412
1.0,1.0,1.0,11.0,T2,62.879578
1.0,1.0,1.0,12.0,T2,46.51527
1.0,1.0,1.0,13.0,T2,71.97132
1.0,1.0,1.0,14.0,T1,79.052055
1.0,1.0,1.0,15.0,T1,53.92101
1.0,1.0,1.0,16.0,T1,58.049763
1.0,1.0,1.0,17.0,T1,70.95123
1.0,1.0,1.0,18.0,T2,85.13097
1.0,1.0,1.0,19.0,T2,73.418785
1.0,1.0,1.0,20.0,T2,35.509678
1.0,1.0,1.0,21.0,T2,71.62252
1.0,1.0,1.0,22.0,T2,55.329735
1.0,1.0,1.0,23.0,T1,53.296032
1.0,1.0,1.0,24.0,T2,63.46225
1.0,1.0,1.0,25.0,T1,66.175026
1.0,1.0,1.0,26.0,T2,58.208214
1.0,1.0,1.0,27.0,T1,81.76864
1.0,1.0,1.0,28.0,T1,62.92553
1.0,1.0,1.0,29.0,T1,70.65619
1.0,1.0,1.0,30.0,T1,73.32486
1.0,1.0,1.0,31.0,T1,57.293915
1.0,1.0,1.0,32.0,T2,88.25787
1.0,1.0,1.0,33.0,T2,66.412384
1.0,1.0,1.0,34.0,T2,59.9028
1.0,1.0,1.0,35.0,T2,88.12094
1.0,1.0,1.0,36.0,T1,56.019665
1.0,1.0,1.0,37.0,T2,69.16858
1.0,1.0,2.0,1.0,Control,56.189842
1.0,1.0,2.0,2.0,Control,55.898506
1.0,1.0,2.0,3.0,Control,48.96979
1.0,1.0,2.0,4.0,Control,54.08198
1.0,1.0,2.0,5.0,Control,61.31344
1.0,1.0,2.0,6.0,Control,69.383675
1.0,1.0,2.0,7.0,Control,54.45469
1.0,1.0,2.0,8.0,Control,50.839455
1.0,1.0,2.0,9.0,Control,72.60327
1.0,1.0,2.0,10.0,Control,53.11644
1.0,1.0,2.0,11.0,Control,64.29128
1.0,1.0,2.0,12.0,Control,67.106674
1.0,1.0,2.0,13.0,Control,69.6436
1.0,1.0,2.0,14.0,Control,55.320465
1.0,1.0,2.0,15.0,Control,64.82339
1.0,1.0,2.0,16.0,Control,46.25558
1.0,1.0,2.0,17.0,Control,58.539143
1.0,1.0,2.0,18.0,Control,50.806606
1.0,1.0,2.0,19.0,Control,52.32636
1.0,1.0,2.0,20.0,Control,50.583782
1.0,1.0,2.0,21.0,Control,50.500072
1.0,1.0,2.0,22.0,Control,51.53486
1.0,1.0,2.0,23.0,Control,59.388805
1.0,1.0,2.0,24.0,Control,32.804585
1.0,1.0,2.0,25.0,Control,56.037563
1.0,1.0,2.0,26.0,Control,47.985867
1.0,1.0,2.0,27.0,Control,70.48414
1.0,1.0,2.0,28.0,Control,71.35688
1.0,1.0,2.0,29.0,Control,54.111713
1.0,1.0,2.0,30.0,Control,53.661602
1.0,1.0,2.0,31.0,Control,64.39415
1.0,1.0,2.0,32.0,Control,57.366337
1.0,1.0,2.0,33.0,Control,67.50167
1.0,1.0,2.0,34.0,Control,67.855675
1.0,1.0,2.0,35.0,Control,46.556694
1.0,1.0,2.0,36.0,Control,41.96502
1.0,1.0,2.0,37.0,Control,62.38357
1.0,1.0,2.0,38.0,Control,35.639446
1.0,2.0,1.0,1.0,T1,91.488235
1.0,2.0,1.0,2.0,T1,91.914536
1.0,2.0,1.0,3.0,T1,88.44753
1.0,2.0,1.0,4.0,T2,87.89357
1.0,2.0,1.0,5.0,T1,56.25714
1.0,2.0,1.0,6.0,T2,69.38097
1.0,2.0,1.0,7.0,T1,73.465576
1.0,2.0,1.0,8.0,T2,56.664955
1.0,2.0,1.0,9.0,T1,52.9327
1.0,2.0,1.0,10.0,T1,53.28453
1.0,2.0,1.0,11.0,T2,89.89984
1.0,2.0,1.0,12.0,T1,57.997284
1.0,2.0,1.0,13.0,T1,73.801445
1.0,2.0,1.0,14.0,T2,82.5427
1.0,2.0,1.0,15.0,T1,81.884796
1.0,2.0,1.0,16.0,T2,70.98835
1.0,2.0,1.0,17.0,T2,70.83974
1.0,2.0,1.0,18.0,T2,65.60935
1.0,2.0,1.0,19.0,T1,53.64494
1.0,2.0,1.0,20.0,T1,58.89354
1.0,2.0,1.0,21.0,T1,75.39792
1.0,2.0,1.0,22.0,T1,60.06954
1.0,2.0,1.0,23.0,T2,71.32382
1.0,2.0,1.0,24.0,T2,70.34334
1.0,2.0,1.0,25.0,T2,74.02024
1.0,2.0,1.0,26.0,T2,70.10479
1.0,2.0,1.0,27.0,T2,72.962814
1.0,2.0,1.0,28.0,T2,77.02994
1.0,2.0,1.0,29.0,T2,45.933628
1.0,2.0,1.0,30.0,T1,90.051094
1.0,2.0,1.0,31.0,T1,72.227425
1.0,2.0,1.0,32.0,T1,74.47517
1.0,2.0,1.0,33.0,T2,71.28894
1.0,2.0,1.0,34.0,T2,54.380363
1.0,2.0,1.0,35.0,T2,74.31626
1.0,2.0,1.0,36.0,T2,50.622856
1.0,2.0,1.0,37.0,T2,77.994125
1.0,2.0,2.0,1.0,Control,54.326893
1.0,2.0,2.0,2.0,Control,56.151676
1.0,2.0,2.0,3.0,Control,72.86085
1.0,2.0,2.0,4.0,Control,80.03863
1.0,2.0,2.0,5.0,Control,54.02257
1.0,2.0,2.0,6.0,Control,36.874577
1.0,2.0,2.0,7.0,Control,49.333164
1.0,2.0,2.0,8.0,Control,42.522808
1.0,2.0,2.0,9.0,Control,39.84579
1.0,2.0,2.0,10.0,Control,48.1657
1.0,2.0,2.0,11.0,Control,69.12668
1.0,2.0,2.0,12.0,Control,61.555405
1.0,2.0,2.0,13.0,Control,52.288883
1.0,2.0,2.0,14.0,Control,59.97913
1.0,2.0,2.0,15.0,Control,42.348244
1.0,2.0,2.0,16.0,Control,56.48983
1.0,2.0,2.0,17.0,Control,75.69488
1.0,2.0,2.0,18.0,Control,53.566063
1.0,2.0,2.0,19.0,Control,64.43089
1.0,2.0,2.0,20.0,Control,35.31779
1.0,2.0,2.0,21.0,Control,57.33703
1.0,2.0,2.0,22.0,Control,66.19025
1.0,2.0,2.0,23.0,Control,48.74833
1.0,2.0,2.0,24.0,Control,45.1611
1.0,2.0,2.0,25.0,Control,58.998684
1.0,2.0,2.0,26.0,Control,51.223232
1.0,2.0,2.0,27.0,Control,58.942158
1.0,2.0,2.0,28.0,Control,58.892776
1.0,2.0,2.0,29.0,Control,58.17995
1.0,2.0,2.0,30.0,Control,68.04558
1.0,2.0,2.0,31.0,Control,49.41279
1.0,2.0,2.0,32.0,Control,57.538498
1.0,2.0,2.0,33.0,Control,36.134766
1.0,2.0,2.0,34.0,Control,64.74295
1.0,2.0,2.0,35.0,Control,51.07532
1.0,2.0,2.0,36.0,Control,53.489967
1.0,2.0,2.0,37.0,Control,57.692844
1.0,2.0,2.0,38.0,Control,57.970444
2.0,1.0,1.0,1.0,T2,62.023014
2.0,1.0,1.0,2.0,T1,63.836826
2.0,1.0,1.0,3.0,T1,64.46525
2.0,1.0,1.0,4.0,T2,88.95334
2.0,1.0,1.0,5.0,T2,44.715004
2.0,1.0,1.0,6.0,T2,66.81452
2.0,1.0,1.0,7.0,T1,74.73877
2.0,1.0,1.0,8.0,T1,61.592216
2.0,1.0,1.0,9.0,T1,76.612816
2.0,1.0,1.0,10.0,T2,72.66806
2.0,1.0,1.0,11.0,T2,84.56702
2.0,1.0,1.0,12.0,T1,81.9051
2.0,1.0,1.0,13.0,T1,59.83889
2.0,1.0,1.0,14.0,T1,61.468517
2.0,1.0,1.0,15.0,T1,75.0652
2.0,1.0,1.0,16.0,T2,42.575428
2.0,1.0,1.0,17.0,T2,77.07715
2.0,1.0,1.0,18.0,T2,57.83227
2.0,1.0,1.0,19.0,T1,51.370888
2.0,1.0,1.0,20.0,T1,69.7133
2.0,1.0,1.0,21.0,T2,54.73021
2.0,1.0,1.0,22.0,T2,85.852196
2.0,1.0,1.0,23.0,T1,84.35896
2.0,1.0,1.0,24.0,T2,90.780815
